,pair,correlation,same_sector,same_kmeans,mean_reverting,growth_differential
413,"('ISRG', 'PODD')",0.9203847939723672,0,0,False,-0.017585959727479512
414,"('ISRG', 'HOLX')",0.9152970029203743,1,0,False,0.09472982956065312
415,"('ISRG', 'DGX')",0.9354966718484056,0,0,False,0.06103836518823532
416,"('ISRG', 'MOH')",0.9093388610176573,0,1,False,-0.011332421184519222
417,"('ISRG', 'BAX')",0.5991281196416779,1,0,False,0.032086833858637955
418,"('ISRG', 'ALGN')",0.8683662506050297,1,0,False,-0.0036937446043969965
419,"('ISRG', 'VTRS')",-0.8778421733452054,0,0,False,0.021074783943597145
420,"('ISRG', 'RVTY')",0.9265535911468776,0,0,False,0.04575074115048451
421,"('ISRG', 'TECH')",0.9343709941091454,0,0,False,0.06052985248098162
422,"('ISRG', 'UHS')",0.5793396199472761,0,0,False,0.03614301533640626
423,"('ISRG', 'INCY')",-0.27813307128085674,0,0,False,0.02216791975691744
424,"('ISRG', 'CRL')",0.9064510546803315,0,1,False,0.019146420798003515
425,"('ISRG', 'HSIC')",0.7458092311054082,0,0,False,0.035976209447045326
426,"('ISRG', 'TFX')",0.775123200639246,1,0,False,0.0420296268592438
427,"('ISRG', 'DVA')",0.689107910421407,0,0,False,0.054884285948650115
428,"('DHR', 'AMGN')",0.9096891530431389,0,0,False,-0.0024559162081646945
429,"('DHR', 'PFE')",0.8859063803675089,0,0,False,-0.07611564075422919
430,"('DHR', 'SYK')",0.9377844000436353,0,0,False,-0.033073867566750764
431,"('DHR', 'BSX')",0.8676463235640542,0,0,False,-0.033886678219742575
432,"('DHR', 'BMY')",0.7316230635352889,0,0,False,0.0025328864823276802
433,"('DHR', 'VRTX')",0.8191822421067462,0,1,False,-0.04675681997401762
434,"('DHR', 'GILD')",-0.04629834607984288,0,0,False,-0.00168182689521474
435,"('DHR', 'MDT')",0.8010061520834172,0,0,False,0.009321616850682814
436,"('DHR', 'ELV')",0.9350801036695744,0,0,False,-0.030823023619997558
437,"('DHR', 'CI')",0.843487519122219,0,0,False,-0.01320046564883352
438,"('DHR', 'REGN')",0.7353121686036911,0,0,False,-0.07139167206240207
439,"('DHR', 'MCK')",0.5958551045181985,0,0,False,0.009321616850682814
440,"('DHR', 'ZTS')",0.9797413986744585,0,0,False,-0.019729962372065847
441,"('DHR', 'CVS')",0.3742493514574896,0,0,False,-0.0240693285634596
442,"('DHR', 'BDX')",0.8440169084210262,0,0,False,0.00788158408114788
443,"('DHR', 'HCA')",0.9258158059281655,0,1,False,-0.017778831928538037
444,"('DHR', 'COR')",0.7758768835480829,0,0,False,-0.014434982665538356
445,"('DHR', 'EW')",0.9534481642887911,0,1,False,-0.028145370072406584
446,"('DHR', 'A')",0.9835450567683159,1,0,False,-0.020131753159712027
447,"('DHR', 'RMD')",0.9756100314522724,0,0,False,0.009321616850682814
448,"('DHR', 'IDXX')",0.9656410077874458,1,1,False,-0.026501428619938143
449,"('DHR', 'HUM')",0.9380138172025997,0,0,False,-0.028461405477515883
450,"('DHR', 'IQV')",0.9811315501719389,1,0,True,-0.02399807197504019
451,"('DHR', 'DXCM')",0.9488076258568705,0,0,False,-0.06891049603553687
452,"('DHR', 'CNC')",0.8685226881740397,0,1,False,-0.02918406475879374
453,"('DHR', 'CAH')",0.1261792414397402,0,0,False,0.009321616850682814
454,"('DHR', 'MTD')",0.9808594744905201,1,0,False,-0.015772107965009583
455,"('DHR', 'BIIB')",-0.46688919043768556,0,0,False,0.04154353873686534
456,"('DHR', 'WST')",0.967127216022749,0,1,False,-0.03070534240756325
457,"('DHR', 'WAT')",0.9537418202459936,1,0,False,-0.017272115858764057
458,"('DHR', 'ZBH')",0.6902731195633055,0,0,False,-0.01247406039989015
459,"('DHR', 'STE')",0.9732500353617353,0,0,False,0.009321616850682814
460,"('DHR', 'COO')",0.9252111882695917,0,0,False,-0.037384829480413925
461,"('DHR', 'LH')",0.9613733493822457,1,0,False,0.023990357544823086
462,"('DHR', 'PODD')",0.9527762999452953,0,0,False,-0.06879419535777831
463,"('DHR', 'HOLX')",0.9507509032171084,0,0,False,0.043521593930354326
464,"('DHR', 'DGX')",0.954860942791513,1,0,True,0.009830129557936518
465,"('DHR', 'MOH')",0.9524128848331106,0,1,False,-0.06254065681481802
466,"('DHR', 'BAX')",0.5490836796202856,0,0,False,-0.01912140177166085
467,"('DHR', 'ALGN')",0.8128660167631491,0,0,False,-0.0549019802346958
468,"('DHR', 'VTRS')",-0.8959231841963248,0,0,False,-0.03013345168670166
469,"('DHR', 'RVTY')",0.9614525192352603,1,0,False,-0.005457494479814291
470,"('DHR', 'TECH')",0.9636464892141334,0,0,False,0.009321616850682814
471,"('DHR', 'UHS')",0.48775450562208206,0,0,False,-0.015065220293892546
472,"('DHR', 'INCY')",-0.2325418597967354,0,0,False,-0.029040315873381364
473,"('DHR', 'CRL')",0.9265621051186036,1,1,False,-0.03206181483229529
474,"('DHR', 'HSIC')",0.7832413038143262,0,0,True,-0.015232026183253481
475,"('DHR', 'TFX')",0.7160061790841692,0,0,False,-0.009178608771055006
476,"('DHR', 'DVA')",0.7215770213347276,0,0,False,0.0036760503183513107
477,"('AMGN', 'PFE')",0.792843337270522,1,0,False,-0.07365972454606451
478,"('AMGN', 'SYK')",0.9198898221202543,0,1,False,-0.030617951358586068
479,"('AMGN', 'BSX')",0.9109857666354456,0,1,False,-0.03143076201157788
480,"('AMGN', 'BMY')",0.7536404525445524,1,0,False,0.004988802690492375
481,"('AMGN', 'VRTX')",0.9400205988519963,0,0,True,-0.044300903765852925
482,"('AMGN', 'GILD')",0.06623985317759719,1,0,False,0.0007740893129499545
483,"('AMGN', 'MDT')",0.7214494489844984,0,0,False,0.011777533058847508
484,"('AMGN', 'ELV')",0.9294815646438936,0,1,False,-0.028367107411832862
485,"('AMGN', 'CI')",0.918571634263466,0,1,False,-0.010744549440668825
486,"('AMGN', 'REGN')",0.7741095071666649,0,1,False,-0.06893575585423738
487,"('AMGN', 'MCK')",0.6479662500970718,0,1,False,0.011777533058847508
488,"('AMGN', 'ZTS')",0.9130761523576488,0,1,False,-0.01727404616390115
489,"('AMGN', 'CVS')",0.29605742441133626,0,0,False,-0.021613412355294903
490,"('AMGN', 'BDX')",0.8898348714085643,0,0,False,0.010337500289312573
491,"('AMGN', 'HCA')",0.8764610530956055,0,0,False,-0.015322915720373342
492,"('AMGN', 'COR')",0.8236540861934865,0,1,False,-0.011979066457373662
493,"('AMGN', 'EW')",0.8558243151087187,0,0,False,-0.025689453864241887
494,"('AMGN', 'A')",0.8910686404462057,0,1,False,-0.017675836951547334
495,"('AMGN', 'RMD')",0.8783316712410567,0,1,False,0.011777533058847508
496,"('AMGN', 'IDXX')",0.8633167384214719,0,0,False,-0.024045512411773447
497,"('AMGN', 'HUM')",0.9666524627986361,0,1,True,-0.026005489269351187
498,"('AMGN', 'IQV')",0.8975154212301046,0,1,False,-0.021542155766875494
499,"('AMGN', 'DXCM')",0.8772616611219197,0,0,False,-0.06645457982737218
500,"('AMGN', 'CNC')",0.8976297843132357,0,0,False,-0.026728148550629043
501,"('AMGN', 'CAH')",0.25564387837558883,0,0,False,0.011777533058847508
502,"('AMGN', 'MTD')",0.8889250303432857,0,1,False,-0.013316191756844889
503,"('AMGN', 'BIIB')",-0.3939646175693196,1,0,False,0.043999454945030034
504,"('AMGN', 'WST')",0.8644643756339763,0,0,False,-0.028249426199398554
505,"('AMGN', 'WAT')",0.8589762465713998,0,1,False,-0.014816199650599363
506,"('AMGN', 'ZBH')",0.6676955571965453,0,0,False,-0.010018144191725456
507,"('AMGN', 'STE')",0.9255096295558711,0,1,False,0.011777533058847508
508,"('AMGN', 'COO')",0.8623710860763656,0,1,False,-0.03492891327224923
509,"('AMGN', 'LH')",0.8699845445057522,0,1,False,0.02644627375298778
510,"('AMGN', 'PODD')",0.8829736963520253,0,0,False,-0.06633827914961363
511,"('AMGN', 'HOLX')",0.9099955669081216,0,1,True,0.04597751013851902
512,"('AMGN', 'DGX')",0.9127305722240305,0,0,False,0.012286045766101213
513,"('AMGN', 'MOH')",0.9270490855612986,0,0,False,-0.06008474060665333
514,"('AMGN', 'BAX')",0.49803482820546585,0,0,False,-0.016665485563496153
515,"('AMGN', 'ALGN')",0.6588143710611316,0,0,False,-0.052446064026531104
516,"('AMGN', 'VTRS')",-0.8759765222459112,0,0,False,-0.027677535478536963
