pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('ABBV', 'MRK')",0.15881713481513343,7.595871567207714,15.4943,False,False,False
"('ABBV', 'ABT')",0.4714977420824581,5.161530424743579,15.4943,False,False,False
"('ABBV', 'TMO')",0.24962679757664874,9.1299887450986,15.4943,False,False,False
"('ABBV', 'ISRG')",0.17265728265358266,6.14174685401315,15.4943,False,False,False
"('ABBV', 'DHR')",0.3643445565916969,8.353882276322734,15.4943,False,False,False
"('ABBV', 'AMGN')",0.056238107282021034,9.05709604476583,15.4943,False,False,False
"('ABBV', 'PFE')",0.8873444429426127,3.870618585353068,15.4943,False,False,False
"('ABBV', 'SYK')",0.18434604292927126,7.02927647993681,15.4943,False,False,False
"('ABBV', 'BSX')",0.25527596612249426,5.203210289342451,15.4943,False,False,False
"('ABBV', 'BMY')",0.6059336081595863,7.652616527726215,15.4943,False,False,False
"('ABBV', 'VRTX')",0.13898495041462006,7.486491415455099,15.4943,False,False,False
"('ABBV', 'GILD')",0.9277921248786803,7.264732414850033,15.4943,False,False,False
"('ABBV', 'MDT')",0.8721055235431658,5.9854115505329935,15.4943,False,False,False
"('ABBV', 'ELV')",0.0018254002845549202,17.227920949074917,15.4943,True,True,True
"('ABBV', 'CI')",0.0011686717074557622,18.42713441310609,15.4943,True,True,True
"('ABBV', 'REGN')",0.15403846158190299,7.0489911636519755,15.4943,False,False,False
"('ABBV', 'MCK')",0.27027089807382676,6.941376543826732,15.4943,False,False,False
"('ABBV', 'ZTS')",0.4188234983843634,6.067499097126299,15.4943,False,False,False
"('ABBV', 'CVS')",0.9110803311400971,7.082822535709917,15.4943,False,False,False
"('ABBV', 'BDX')",0.6636320316092637,6.401805137985314,15.4943,False,False,False
"('ABBV', 'HCA')",0.035369735953987305,10.789903529320911,15.4943,True,False,False
"('ABBV', 'COR')",0.16556934866802375,6.182129133498199,15.4943,False,False,False
"('ABBV', 'EW')",0.7113683726877775,5.165935871014345,15.4943,False,False,False
"('ABBV', 'A')",0.25485417163547996,8.149277501037934,15.4943,False,False,False
"('ABBV', 'RMD')",0.6959757778406904,5.728769422194474,15.4943,False,False,False
"('ABBV', 'IDXX')",0.40649064343981106,6.159430793074185,15.4943,False,False,False
"('ABBV', 'HUM')",0.03823105653112413,11.876533299769802,15.4943,True,False,False
"('ABBV', 'IQV')",0.14474380722015545,7.45162356811349,15.4943,False,False,False
"('ABBV', 'DXCM')",0.24270505271439552,7.05389896167003,15.4943,False,False,False
"('ABBV', 'CNC')",0.2844330850270135,8.662088336486054,15.4943,False,False,False
"('ABBV', 'CAH')",0.6612008056113128,2.7230114121033004,15.4943,False,False,False
"('ABBV', 'MTD')",0.34834991833543216,7.6816863555033255,15.4943,False,False,False
"('ABBV', 'BIIB')",0.4360608928893629,21.771049732764332,15.4943,False,True,False
"('ABBV', 'WST')",0.362928575706794,6.207011912329418,15.4943,False,False,False
"('ABBV', 'WAT')",0.1752678609476645,7.740122799287226,15.4943,False,False,False
"('ABBV', 'ZBH')",0.7042339227158319,10.78968690583688,15.4943,False,False,False
