Date,ABBV,ABT,AMGN,BMY,BSX,DHR,ISRG,JNJ,LLY,MRK,PFE,SYK,TMO,UNH,VRTX
2016-05-18,42.12067794799805,32.258209228515625,117.26359558105469,53.95185470581055,22.290000915527344,40.77739715576172,69.46778106689453,89.39141082763672,65.65763854980469,40.4056282043457,22.3454647064209,99.71135711669922,146.65353393554688,114.83522033691406,81.70999908447266
2016-05-19,41.29861831665039,31.82239532470703,115.58426666259766,53.37507247924805,22.170000076293945,40.62811279296875,69.30999755859375,88.8090591430664,63.920074462890625,40.33912658691406,22.486936569213867,99.37552642822266,145.0023956298828,114.38648223876953,81.01000213623047
2016-05-20,41.58424377441406,32.130027770996094,116.75823974609375,53.70899200439453,22.3700008392334,40.951576232910156,70.28666687011719,89.27667999267578,64.35015869140625,40.7308349609375,22.729454040527344,100.06531524658203,145.42254638671875,115.21359252929688,84.69999694824219
2016-05-23,41.31253433227539,31.933490753173828,116.07410430908203,53.42820358276367,22.360000610351562,40.9889030456543,69.8499984741211,88.896240234375,63.72223663330078,40.590396881103516,22.682296752929688,100.08346557617188,145.4127197265625,114.75601196289062,84.41999816894531
2016-05-24,42.287879943847656,32.45473861694336,118.73297882080078,54.058109283447266,22.530000686645508,41.457515716552734,70.96333312988281,89.31631469726562,64.50502014160156,41.09298324584961,22.97197723388672,101.3541259765625,147.2104034423828,116.66537475585938,88.41999816894531
2016-05-25,42.650150299072266,33.05291748046875,120.9487075805664,53.648277282714844,22.389999389648438,41.328956604003906,71.44889068603516,89.83940124511719,64.11791229248047,41.80989074707031,23.140396118164062,101.53568267822266,147.6793670654297,117.39571380615234,89.55999755859375
2016-05-26,43.12388229370117,33.23236846923828,120.93319702148438,53.67864227294922,22.559999465942383,41.13819885253906,70.80000305175781,89.48274993896484,64.96090698242188,41.67686462402344,23.19428253173828,101.27246856689453,147.71839904785156,117.008544921875,89.19000244140625
2016-05-27,43.68817901611328,33.58271789550781,121.85834503173828,54.11880111694336,22.579999923706055,41.0179328918457,70.7388916015625,89.60953521728516,64.50502014160156,41.743385314941406,23.315547943115234,101.44490051269531,148.62698364257812,117.90605163574219,90.37999725341797
2016-05-31,43.84145736694336,33.864715576171875,122.7990493774414,54.41478729248047,22.709999084472656,40.78984832763672,70.52333068847656,89.31631469726562,64.53941345214844,41.58078384399414,23.376171112060547,100.89125061035156,148.27529907226562,117.61566162109375,93.1500015258789
2016-06-01,43.771785736083984,33.75362777709961,122.87678527832031,54.54380798339844,22.709999084472656,40.97261047363281,70.85444641113281,89.38764190673828,64.46198272705078,41.63251876831055,23.409854888916016,101.3450698852539,149.5355682373047,118.37237548828125,93.9000015258789
