,pair,correlation,same_sector,same_kmeans_3,same_kmeans_6,mean_reverting,keyword_overlap,growth_diff
1186,"('MDT', 'DGX')",0.7678858852174567,0,1,1,False,28,0.0005085127072537039
1187,"('MDT', 'MOH')",0.6634436416659841,0,0,0,False,26,-0.07186227366550084
1188,"('MDT', 'HOLX')",0.7632020293756293,0,1,1,False,28,0.03419997707967151
1189,"('MDT', 'ALGN')",0.8820489312096746,0,0,0,False,28,-0.06422359708537861
1190,"('MDT', 'UTHR')",0.2763291667186582,0,1,0,False,28,-0.05412789497842952
1191,"('MDT', 'BAX')",0.8235418209172137,0,1,1,False,27,-0.028443018622343663
1192,"('MDT', 'VTRS')",-0.7538395486435973,0,1,0,False,28,-0.03945506853738447
1193,"('MDT', 'RVTY')",0.844535987987472,0,1,1,False,28,-0.014779111330497105
1194,"('MDT', 'THC')",0.3118611155399298,0,0,0,False,27,-0.017810042228447866
1195,"('MDT', 'NBIX')",0.7439401478132578,0,0,0,False,29,-0.07385970439224887
1196,"('MDT', 'BMRN')",-0.1283166932205902,0,1,0,False,29,-0.031316396239214415
1197,"('MDT', 'INCY')",-0.0440289555903831,0,1,0,False,29,-0.03836193272406418
1198,"('MDT', 'SRPT')",0.590834208283952,0,0,0,False,28,-0.10682754379281613
1199,"('MDT', 'TECH')",0.8502849546768704,0,0,0,False,29,0.0
1200,"('MDT', 'EXAS')",0.8424872536194657,0,0,0,True,27,-0.06263350054343753
1201,"('MDT', 'UHS')",0.6395051306677889,0,1,0,False,26,-0.02438683714457536
1202,"('MDT', 'EXEL')",0.6026399108148384,0,0,0,False,29,-0.07909098038818262
1203,"('MDT', 'EHC')",0.7937179386263585,0,1,1,False,28,-0.034775944609216076
1204,"('MDT', 'CRL')",0.8693219755599342,0,0,0,False,29,-0.0413834316829781
1205,"('MDT', 'QGEN')",0.8368156118111038,0,1,1,False,29,-0.008075100719123351
1206,"('MDT', 'GMED')",0.8619621475675898,1,1,1,False,26,-0.09058660233670034
1207,"('MDT', 'HSIC')",0.6789298011914183,0,1,1,False,27,-0.024553643033936295
1208,"('MDT', 'TFX')",0.9269926528055447,0,1,1,True,29,-0.01850022562173782
1209,"('MDT', 'CHE')",0.803131906633792,0,0,0,False,27,-0.009702581912893946
1210,"('MDT', 'DVA')",0.6533595858153792,0,1,1,False,27,-0.005645566532331503
1211,"('MDT', 'RGEN')",0.8071198028114484,0,0,0,False,28,-0.09056299664928118
1212,"('MDT', 'JAZZ')",-0.009996244953830396,0,1,0,False,29,-0.059950717158378825
1213,"('MDT', 'MASI')",0.9034712030323865,1,0,0,True,28,-0.08137520616108694
1214,"('MDT', 'BRKR')",0.7815407320354172,1,0,0,False,27,-0.048291170673953
1215,"('MDT', 'BIO')",0.8996913302724716,1,1,1,True,27,-0.006684492975956216
1216,"('MDT', 'IONS')",-0.017624052724871202,0,0,0,False,28,-0.019672214588047195
1217,"('MDT', 'XRAY')",0.15683263882807044,0,1,0,False,27,-0.02278636288690857
1218,"('MDT', 'PRGO')",-0.7382294493013036,0,1,0,False,27,-0.014864699419103093
1219,"('MDT', 'ACHC')",-0.020128349050492118,0,1,0,False,24,-0.03969454482428127
1220,"('MDT', 'AMED')",0.8851963777311752,0,0,0,True,27,-0.008763207444971301
1221,"('MDT', 'AZTA')",0.8716814397341569,0,0,0,False,28,-0.03095709741172407
1222,"('MDT', 'QDEL')",0.7214121867653221,1,0,0,True,27,-0.09587410888641329
1223,"('MDT', 'PINC')",0.35349845674599556,0,1,0,False,26,0.0
1224,"('ELV', 'CI')",0.9433873304470285,1,1,1,False,29,0.01762255797116404
1225,"('ELV', 'REGN')",0.772947821202444,0,1,1,False,28,-0.04056864844240451
1226,"('ELV', 'ZTS')",0.9187336656643881,0,1,0,False,28,0.011093061247931711
1227,"('ELV', 'BDX')",0.8611623394088748,0,0,0,False,28,0.038704607701145435
1228,"('ELV', 'HCA')",0.9512288858044216,0,1,1,False,25,0.013044191691459522
1229,"('ELV', 'EW')",0.874338120169592,0,1,0,False,27,0.0026776535475909746
1230,"('ELV', 'A')",0.9303658767537539,0,1,1,False,26,0.010691270460285531
1231,"('ELV', 'IQV')",0.9396911074127988,0,1,1,False,30,0.006824951644957368
1232,"('ELV', 'IDXX')",0.8739169238146877,0,1,0,False,27,0.004321595000059415
1233,"('ELV', 'RMD')",0.9021756097354369,0,1,1,False,27,0.04014464047068037
1234,"('ELV', 'VEEV')",0.774280033035929,0,0,0,False,28,0.04014464047068037
1235,"('ELV', 'HUM')",0.9613344003848108,1,1,1,False,28,0.002361618142481675
1236,"('ELV', 'ALNY')",0.8403893545413474,0,0,0,True,28,-0.1492063979203087
1237,"('ELV', 'DXCM')",0.8728328011773315,0,0,0,False,28,-0.038087472415539315
1238,"('ELV', 'CNC')",0.9162024856830475,1,1,1,False,27,0.0016389588612038195
1239,"('ELV', 'CAH')",0.2614879569108205,0,0,0,False,27,0.04014464047068037
1240,"('ELV', 'BIIB')",-0.4535504134403602,0,0,0,False,30,0.0723665623568629
1241,"('ELV', 'WST')",0.8875301828666502,0,1,0,False,29,0.00011768121243430768
1242,"('ELV', 'WAT')",0.9196285656864804,0,0,0,False,25,0.0135509077612335
1243,"('ELV', 'ZBH')",0.5735243116083832,0,0,0,False,30,0.018348963220107407
1244,"('ELV', 'ILMN')",0.38572618720982554,0,0,0,False,27,-0.00348954842834686
1245,"('ELV', 'STE')",0.9430721384212646,0,1,1,False,27,0.04014464047068037
1246,"('ELV', 'COO')",0.8627300920553502,0,0,0,False,27,0.01590815268260153
1247,"('ELV', 'LH')",0.911772862241466,0,0,0,False,27,0.054813381164820645
1248,"('ELV', 'PODD')",0.8861351870694719,0,0,0,False,27,-0.03797117173778076
