pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('ABBV', 'ISRG')",0.17265710101796844,6.141740730702828,15.4943,False,False,False
"('ABBV', 'AMGN')",0.056238015653095864,9.057090500242474,15.4943,False,False,False
"('ABBV', 'DHR')",0.3643431401287933,8.353877040199889,15.4943,False,False,False
"('ABBV', 'PFE')",0.8873446817974425,3.870614442446221,15.4943,False,False,False
"('ABBV', 'SYK')",0.18434562944433425,7.029274933910186,15.4943,False,False,False
"('ABBV', 'BSX')",0.2552760935834538,5.203210409403507,15.4943,False,False,False
"('ABBV', 'BMY')",0.6059335686067314,7.652611199436761,15.4943,False,False,False
"('ABBV', 'VRTX')",0.13898494132941575,7.486491705312955,15.4943,False,False,False
"('ABBV', 'GILD')",0.927792020807233,7.2647366345662,15.4943,False,False,False
"('ABBV', 'MDT')",0.8721055242872615,5.985409762843145,15.4943,False,False,False
"('ABBV', 'ELV')",0.0018254004495616568,17.227909476594615,15.4943,True,True,True
"('ABBV', 'CI')",0.0011686655292903359,18.427128655691725,15.4943,True,True,True
"('ABBV', 'REGN')",0.15403853593155092,7.048987053859387,15.4943,False,False,False
"('ABBV', 'ZTS')",0.4188229461698901,6.067495616948108,15.4943,False,False,False
"('ABBV', 'BDX')",0.6636321996868779,6.401808588577436,15.4943,False,False,False
"('ABBV', 'HCA')",0.03536967692820246,10.789905045692182,15.4943,True,False,False
"('ABBV', 'EW')",0.7113682863502905,5.1659327268749395,15.4943,False,False,False
"('ABBV', 'A')",0.25485370545793773,8.149273662304017,15.4943,False,False,False
"('ABBV', 'IQV')",0.1447436842537727,7.4516177053812145,15.4943,False,False,False
"('ABBV', 'IDXX')",0.4064904085968292,6.15942440731383,15.4943,False,False,False
"('ABBV', 'RMD')",0.6959757985998537,5.728771417670999,15.4943,False,False,False
"('ABBV', 'VEEV')",0.791933191004819,3.70671701432809,15.4943,False,False,False
"('ABBV', 'HUM')",0.03823109181692612,11.876524475433506,15.4943,True,False,False
"('ABBV', 'ALNY')",0.004354438731621576,18.139091909962918,15.4943,True,True,True
"('ABBV', 'DXCM')",0.24270497914511024,7.053894566751382,15.4943,False,False,False
"('ABBV', 'CNC')",0.2844327648930237,8.662088685739008,15.4943,False,False,False
"('ABBV', 'CAH')",0.6612005904749928,2.723013938769207,15.4943,False,False,False
"('ABBV', 'BIIB')",0.4360607651636458,21.771050596294984,15.4943,False,True,False
"('ABBV', 'WST')",0.36292859571898783,6.207005322582125,15.4943,False,False,False
"('ABBV', 'WAT')",0.17526769028296135,7.740118453483034,15.4943,False,False,False
"('ABBV', 'ZBH')",0.7042336142035156,10.789679583647183,15.4943,False,False,False
"('ABBV', 'ILMN')",0.9841719684386102,5.38207136035954,15.4943,False,False,False
"('ABBV', 'STE')",0.22686587695383698,6.755778964177506,15.4943,False,False,False
"('ABBV', 'COO')",0.48475334964809075,5.45072587423708,15.4943,False,False,False
"('ABBV', 'LH')",0.09702186477393704,10.105552070645306,15.4943,False,False,False
"('ABBV', 'PODD')",0.5039235861903605,5.808721237535639,15.4943,False,False,False
"('ABBV', 'DGX')",0.04250753468598885,12.259414582051761,15.4943,True,False,False
"('ABBV', 'MOH')",0.015279333486198471,12.283789547083398,15.4943,True,False,False
"('ABBV', 'HOLX')",0.1128228761164658,9.290706708186704,15.4943,False,False,False
"('ABBV', 'ALGN')",0.9264290153358841,4.634271140930987,15.4943,False,False,False
"('ABBV', 'UTHR')",0.2391514778273019,7.273369091631486,15.4943,False,False,False
"('ABBV', 'BAX')",0.9830414886852382,8.475016884047301,15.4943,False,False,False
"('ABBV', 'VTRS')",0.29475644849200033,6.4775809727332225,15.4943,False,False,False
"('ABBV', 'RVTY')",0.8402305940634287,6.555244157188525,15.4943,False,False,False
"('ABBV', 'THC')",0.4544863093154256,5.216888655595874,15.4943,False,False,False
"('ABBV', 'NBIX')",0.4233284861967987,6.308997468934517,15.4943,False,False,False
"('ABBV', 'BMRN')",0.9476227768448968,15.106285285099403,15.4943,False,False,False
"('ABBV', 'INCY')",0.6526414769878963,11.59649338370463,15.4943,False,False,False
"('ABBV', 'SRPT')",0.7711817327836832,7.094794069700321,15.4943,False,False,False
"('ABBV', 'TECH')",0.6836550510464681,5.01757375104551,15.4943,False,False,False
"('ABBV', 'EXAS')",0.8928431930307481,4.070024470877331,15.4943,False,False,False
"('ABBV', 'UHS')",0.6104637992085248,14.184391223277611,15.4943,False,False,False
"('ABBV', 'EXEL')",0.8365929606232534,4.527664854739386,15.4943,False,False,False
"('ABBV', 'EHC')",0.3527228725658891,6.953368888600471,15.4943,False,False,False
"('ABBV', 'CRL')",0.7411967977828239,5.374748984988298,15.4943,False,False,False
"('ABBV', 'QGEN')",0.5171834267239864,5.8935748549043065,15.4943,False,False,False
"('ABBV', 'GMED')",0.7183874316634167,5.740562103893775,15.4943,False,False,False
"('ABBV', 'HSIC')",0.09926523171406021,15.012991877713764,15.4943,False,False,False
"('ABBV', 'TFX')",0.9609976638842996,5.180543494458768,15.4943,False,False,False
"('ABBV', 'CHE')",0.44439698577888914,4.4467048088526235,15.4943,False,False,False
"('ABBV', 'DVA')",0.5137191972776404,7.502314988112438,15.4943,False,False,False
"('ABBV', 'RGEN')",0.3432392508562925,8.313138757262639,15.4943,False,False,False
"('ABBV', 'JAZZ')",0.9319676703668673,16.533250767645434,15.4943,False,True,False
"('ABBV', 'MASI')",0.9134969979384573,5.618946273801727,15.4943,False,False,False
"('ABBV', 'BRKR')",0.1324207175277224,7.723457553887543,15.4943,False,False,False
"('ABBV', 'BIO')",0.9520604218904614,6.682253642546332,15.4943,False,False,False
"('ABBV', 'IONS')",0.7664427362865354,11.90554590742237,15.4943,False,False,False
"('ABBV', 'XRAY')",0.4929918003346829,11.511777111878231,15.4943,False,False,False
"('ABBV', 'PRGO')",0.6009159483737258,4.651305634098768,15.4943,False,False,False
"('ABBV', 'ACHC')",0.7470322837225263,4.770609569269583,15.4943,False,False,False
"('ABBV', 'AMED')",0.9644363215126803,4.062050522981269,15.4943,False,False,False
"('ABBV', 'AZTA')",0.6675392229100253,7.187926438680279,15.4943,False,False,False
"('ABBV', 'QDEL')",0.8755651734129289,5.533983355499558,15.4943,False,False,False
"('ABBV', 'PINC')",0.9473060091539428,10.913402643186002,15.4943,False,False,False
"('MRK', 'ABT')",0.602640734627406,3.038881516355973,15.4943,False,False,False
"('MRK', 'TMO')",0.4568004821470729,3.83452012491462,15.4943,False,False,False
"('MRK', 'ISRG')",0.3111846129224162,5.438382070286779,15.4943,False,False,False
"('MRK', 'AMGN')",0.052998056220519445,9.120749280086514,15.4943,False,False,False
"('MRK', 'DHR')",0.520063421306858,3.431161790748452,15.4943,False,False,False
"('MRK', 'PFE')",0.9708313875715666,6.664672787922928,15.4943,False,False,False
"('MRK', 'SYK')",0.1529820015785336,8.682721544015457,15.4943,False,False,False
"('MRK', 'BSX')",0.20770454461265092,9.223687278978415,15.4943,False,False,False
"('MRK', 'BMY')",0.8808066201601638,7.209849693237975,15.4943,False,False,False
"('MRK', 'VRTX')",0.015146949958873408,10.48181266540231,15.4943,True,False,False
"('MRK', 'GILD')",0.9337085720280159,7.05330785498836,15.4943,False,False,False
"('MRK', 'MDT')",0.9716218902293953,4.375460684343331,15.4943,False,False,False
"('MRK', 'ELV')",0.11893631683872108,10.993565339969958,15.4943,False,False,False
"('MRK', 'CI')",0.10804156394513514,9.866656482441723,15.4943,False,False,False
"('MRK', 'REGN')",0.22000585258323252,5.939328439807716,15.4943,False,False,False
"('MRK', 'ZTS')",0.45234902440914276,4.10536476849744,15.4943,False,False,False
"('MRK', 'BDX')",0.7947516347011208,6.004999489333268,15.4943,False,False,False
"('MRK', 'HCA')",0.17710638347487284,8.627893101096753,15.4943,False,False,False
